PropertyID,City,PropertyType,Area_sqm,Bedrooms,Bathrooms,Age_years,Distance_to_Center_km,Has_Garden,Has_Parking,Furnished,Price_USD,LocalCurrency,ExchangeRate_to_USD,Price_Local
PROP_00093,Sydney,Penthouse,193.4,5,3,16,0.14,0,1,Partially,3538661.68,AUD,1.5,5307992.52
PROP_00094,Sydney,Penthouse,202.3,5,4,9,5.94,0,0,Unfurnished,2941785.46,AUD,1.5,4412678.19
PROP_00095,New York,House,263.2,5,4,11,6.98,1,1,Partially,3961489.16,USD,1.0,3961489.16
PROP_00096,New York,House,286.1,5,4,31,6.49,1,1,Unfurnished,4823849.51,USD,1.0,4823849.51
PROP_00097,Tokyo,House,249.9,5,4,6,17.49,1,1,Partially,2527268.6,JPY,150.0,379090290.0
PROP_00098,New York,House,152.6,3,2,11,15.81,1,0,Partially,1424164.27,USD,1.0,1424164.27
PROP_00099,Sydney,House,246.7,5,4,0,1.39,1,0,Fully,4382169.35,AUD,1.5,6573254.02
PROP_00100,Tokyo,Penthouse,229.2,5,4,14,0.55,1,0,Unfurnished,4362713.92,JPY,150.0,654407088.0
PROP_00101,Sydney,House,90.1,2,1,3,18.15,1,0,Fully,614275.85,AUD,1.5,921413.77
PROP_00102,New York,House,244.2,5,4,10,40.0,1,1,Partially,1956386.46,USD,1.0,1956386.46
PROP_00103,Mumbai,Apartment,155.7,4,3,31,1.54,0,1,Unfurnished,743622.11,INR,83.5,62092446.18
PROP_00104,Paris,Apartment,100.2,3,2,4,0.1,0,0,Partially,1167816.28,EUR,0.92,1074390.98
PROP_00105,Mumbai,Apartment,69.5,2,2,9,4.49,0,0,Partially,273316.22,INR,83.5,22821904.37
PROP_00106,Tokyo,House,211.0,5,3,2,2.1,1,0,Fully,3653644.32,JPY,150.0,548046648.0
PROP_00107,Mumbai,House,296.8,5,4,30,0.36,1,1,Fully,2127584.67,INR,83.5,177653319.94
PROP_00108,Tokyo,Apartment,132.0,3,2,1,1.98,0,0,Partially,1387446.59,JPY,150.0,208116988.5
PROP_00109,Mumbai,House,218.7,5,4,6,12.02,1,1,Fully,1160275.28,INR,83.5,96882985.88
PROP_00110,Paris,Apartment,99.7,3,2,0,0.39,1,1,Partially,1289257.36,EUR,0.92,1186116.77
PROP_00111,Paris,House,225.7,5,3,5,8.05,1,1,Partially,3042457.87,EUR,0.92,2799061.24
PROP_00112,London,Apartment,105.3,2,2,11,8.74,0,1,Unfurnished,989626.46,GBP,0.8,791701.17
PROP_00113,Paris,House,184.4,5,4,15,6.08,1,0,Unfurnished,2327972.02,EUR,0.92,2141734.26
PROP_00114,New York,Apartment,113.3,2,2,18,4.14,0,1,Fully,1474208.48,USD,1.0,1474208.48
PROP_00115,New York,House,249.5,5,4,14,1.69,1,0,Unfurnished,5049043.42,USD,1.0,5049043.42
PROP_00116,Tokyo,Apartment,134.1,3,2,3,0.88,0,0,Partially,1572193.8,JPY,150.0,235829070.0
PROP_00117,Tokyo,Penthouse,174.1,4,3,55,3.84,0,1,Unfurnished,1893428.52,JPY,150.0,284014278.0
PROP_00118,New York,Apartment,56.0,1,1,2,3.45,0,1,Partially,646279.94,USD,1.0,646279.94
PROP_00119,London,Apartment,58.7,1,1,1,2.53,0,1,Partially,645987.22,GBP,0.8,516789.78
PROP_00120,London,House,207.1,5,3,33,10.84,1,1,Partially,2469642.89,GBP,0.8,1975714.31
PROP_00121,New York,House,227.5,5,4,25,1.0,1,1,Partially,4767707.61,USD,1.0,4767707.61
PROP_00122,London,House,159.4,3,2,19,10.8,1,1,Partially,1810941.64,GBP,0.8,1448753.31
PROP_00123,Tokyo,Apartment,100.7,3,2,12,6.35,0,1,Unfurnished,830286.95,JPY,150.0,124543042.5
PROP_00124,Tokyo,Apartment,43.9,1,1,27,0.96,1,1,Unfurnished,362270.86,JPY,150.0,54340629.0
PROP_00125,Mumbai,Apartment,38.1,1,1,31,11.55,0,0,Partially,108819.29,INR,83.5,9086410.72
PROP_00126,Sydney,Apartment,64.8,2,1,22,2.6,0,1,Partially,420785.55,AUD,1.5,631178.32
PROP_00127,London,Apartment,84.2,2,2,8,3.62,0,1,Fully,1101293.25,GBP,0.8,881034.6
PROP_00128,Tokyo,Apartment,116.4,2,2,13,2.53,0,0,Unfurnished,995945.71,JPY,150.0,149391856.5
PROP_00129,Sydney,Apartment,25.0,1,1,4,4.8,0,0,Fully,196866.9,AUD,1.5,295300.35
PROP_00130,New York,House,235.3,5,4,8,23.96,1,1,Partially,2132484.08,USD,1.0,2132484.08
PROP_00131,Paris,Apartment,86.5,3,2,1,3.01,1,0,Partially,972948.94,EUR,0.92,895113.02
PROP_00132,Sydney,House,166.3,4,3,5,40.0,1,1,Fully,610231.05,AUD,1.5,915346.58
PROP_00133,Tokyo,Apartment,58.9,1,1,18,1.13,0,1,Fully,540808.49,JPY,150.0,81121273.5
PROP_00134,Mumbai,Apartment,79.3,2,2,43,5.75,0,1,Unfurnished,251500.5,INR,83.5,21000291.75
PROP_00135,New York,Apartment,90.9,3,2,16,2.5,0,0,Partially,1169252.85,USD,1.0,1169252.85
PROP_00136,London,House,256.2,5,4,1,4.09,1,0,Partially,4460340.51,GBP,0.8,3568272.41
PROP_00137,Sydney,Apartment,116.4,3,3,8,8.51,0,1,Fully,1083932.64,AUD,1.5,1625898.96
PROP_00138,New York,Apartment,132.8,3,2,4,2.34,0,0,Partially,1645359.43,USD,1.0,1645359.43
PROP_00139,Sydney,House,200.2,5,4,28,29.47,1,1,Fully,1383632.92,AUD,1.5,2075449.38
PROP_00140,Mumbai,Apartment,115.7,3,3,25,6.33,1,0,Fully,580052.55,INR,83.5,48434387.92
PROP_00141,Mumbai,House,207.3,4,3,6,1.28,1,1,Fully,1408871.27,INR,83.5,117640751.04
PROP_00142,Paris,House,204.0,5,3,18,6.13,1,1,Unfurnished,2925172.66,EUR,0.92,2691158.85
PROP_00143,Sydney,Apartment,55.9,2,2,1,4.19,0,1,Partially,528929.29,AUD,1.5,793393.94
PROP_00144,Sydney,House,208.8,5,4,25,25.87,1,0,Fully,1331656.34,AUD,1.5,1997484.51
PROP_00145,London,Apartment,107.2,3,2,4,1.8,0,1,Partially,1365393.58,GBP,0.8,1092314.86
PROP_00146,New York,Apartment,59.9,2,1,20,9.93,0,0,Fully,632165.97,USD,1.0,632165.97
PROP_00147,Tokyo,House,92.4,2,2,10,40.0,1,0,Partially,349318.03,JPY,150.0,52397704.5
PROP_00148,Tokyo,Apartment,136.3,3,2,25,4.62,0,1,Unfurnished,1116720.67,JPY,150.0,167508100.5
PROP_00149,Paris,Apartment,52.0,1,1,10,0.35,0,0,Partially,474853.93,EUR,0.92,436865.62
PROP_00150,Sydney,House,123.3,3,2,0,5.71,1,0,Unfurnished,1366573.21,AUD,1.5,2049859.82
PROP_00151,Sydney,Apartment,60.3,2,2,21,0.93,0,1,Unfurnished,533062.24,AUD,1.5,799593.36
PROP_00152,Paris,Apartment,117.7,4,3,7,0.83,1,1,Partially,1779126.96,EUR,0.92,1636796.8
PROP_00153,New York,House,183.4,5,4,14,8.48,1,0,Fully,2965212.15,USD,1.0,2965212.15
PROP_00154,Paris,Apartment,61.4,1,1,12,1.82,0,1,Partially,528087.02,EUR,0.92,485840.06
PROP_00155,Sydney,Penthouse,192.6,5,3,40,0.37,0,0,Unfurnished,2657467.79,AUD,1.5,3986201.68
PROP_00156,Sydney,House,174.7,5,4,0,2.0,1,0,Unfurnished,2431172.43,AUD,1.5,3646758.65
PROP_00157,London,House,184.2,5,4,10,11.18,1,1,Fully,2832798.89,GBP,0.8,2266239.11
PROP_00158,Tokyo,Penthouse,205.5,4,3,10,0.79,0,1,Fully,4093601.6,JPY,150.0,614040240.0
PROP_00159,Paris,Apartment,25.0,1,1,3,4.83,0,0,Fully,233293.31,EUR,0.92,214629.85
PROP_00160,Tokyo,Apartment,82.6,2,2,5,2.81,0,0,Unfurnished,659856.67,JPY,150.0,98978500.5
PROP_00161,Sydney,Apartment,73.4,2,2,25,4.78,0,1,Partially,582539.9,AUD,1.5,873809.85
PROP_00162,London,Apartment,81.1,2,1,8,8.79,0,1,Fully,837539.56,GBP,0.8,670031.65
PROP_00163,London,Apartment,126.1,3,2,3,4.82,0,1,Partially,1458801.18,GBP,0.8,1167040.94
PROP_00164,Mumbai,House,198.9,4,3,9,22.32,1,0,Partially,682543.41,INR,83.5,56992374.74
PROP_00165,Paris,House,251.3,5,4,29,5.98,1,1,Fully,3277944.3,EUR,0.92,3015708.76
PROP_00166,New York,House,186.2,5,3,22,20.92,1,1,Partially,1891573.54,USD,1.0,1891573.54
PROP_00167,Sydney,House,155.2,4,3,20,8.61,1,1,Fully,1700136.7,AUD,1.5,2550205.05
PROP_00168,New York,House,276.5,5,3,10,5.88,1,1,Unfurnished,4930959.03,USD,1.0,4930959.03
PROP_00169,Paris,House,126.7,3,2,16,17.35,1,0,Fully,1129931.42,EUR,0.92,1039536.91
PROP_00170,Paris,House,152.1,4,3,0,3.54,1,0,Fully,2518214.24,EUR,0.92,2316757.1
PROP_00171,New York,House,155.0,4,3,13,16.54,1,1,Partially,2002970.69,USD,1.0,2002970.69
PROP_00172,Tokyo,Apartment,91.9,2,1,11,2.46,0,0,Unfurnished,706911.81,JPY,150.0,106036771.5
PROP_00173,Paris,Apartment,94.2,2,2,29,9.37,1,0,Unfurnished,785939.06,EUR,0.92,723063.94
PROP_00174,Mumbai,Penthouse,198.6,4,3,5,4.2,0,1,Unfurnished,1590332.97,INR,83.5,132792803.0
PROP_00175,London,Apartment,109.4,2,2,27,6.6,0,1,Partially,1085584.81,GBP,0.8,868467.85
PROP_00176,Sydney,House,252.7,5,4,2,7.43,1,0,Fully,3383545.49,AUD,1.5,5075318.24
PROP_00177,Mumbai,House,140.1,4,3,5,16.27,1,1,Partially,561241.72,INR,83.5,46863683.62
PROP_00178,London,Apartment,93.3,2,2,0,6.85,0,1,Partially,1133549.13,GBP,0.8,906839.3
PROP_00179,Tokyo,House,192.6,5,3,7,12.37,1,1,Fully,2418507.87,JPY,150.0,362776180.5
PROP_00180,London,Apartment,135.4,3,2,6,7.9,0,1,Partially,1363806.2,GBP,0.8,1091044.96
PROP_00181,Sydney,House,184.6,5,3,10,10.98,1,1,Fully,1995027.93,AUD,1.5,2992541.9
PROP_00182,Tokyo,Apartment,118.5,3,3,10,2.9,0,0,Partially,1137289.05,JPY,150.0,170593357.5
PROP_00183,London,Apartment,108.2,2,1,15,3.43,0,1,Unfurnished,1172382.67,GBP,0.8,937906.14
PROP_00184,Paris,Apartment,141.5,3,2,6,0.13,0,1,Fully,2031147.11,EUR,0.92,1868655.34
PROP_00185,New York,Penthouse,159.4,4,3,9,1.71,1,1,Partially,4154612.82,USD,1.0,4154612.82
PROP_00186,Sydney,House,50.0,2,2,2,11.31,1,0,Unfurnished,412796.47,AUD,1.5,619194.7
PROP_00187,New York,Penthouse,131.2,3,3,4,0.95,0,1,Unfurnished,2750250.11,USD,1.0,2750250.11
PROP_00188,Paris,Apartment,116.6,3,2,22,0.45,0,1,Partially,1515245.32,EUR,0.92,1394025.69
PROP_00189,Mumbai,Apartment,38.1,1,1,4,5.31,0,1,Partially,131908.55,INR,83.5,11014363.92
PROP_00190,New York,Penthouse,138.8,4,3,59,0.77,0,1,Unfurnished,2338131.37,USD,1.0,2338131.37
PROP_00191,New York,House,194.2,5,3,43,22.76,1,1,Partially,1585606.8,USD,1.0,1585606.8
PROP_00192,Tokyo,House,150.2,4,3,9,0.64,1,1,Fully,2330398.69,JPY,150.0,349559803.5
PROP_00193,Mumbai,Apartment,119.9,3,2,31,10.58,1,0,Partially,362557.41,INR,83.5,30273543.74
PROP_00194,London,House,328.0,5,4,4,5.95,1,1,Partially,6700565.46,GBP,0.8,5360452.37
PROP_00195,New York,Apartment,81.2,2,1,1,2.21,0,0,Partially,912419.29,USD,1.0,912419.29
PROP_00196,New York,Apartment,87.0,2,2,23,1.9,1,1,Fully,1270926.3,USD,1.0,1270926.3
PROP_00197,Sydney,Apartment,68.6,2,2,2,2.9,0,0,Unfurnished,569993.28,AUD,1.5,854989.92
PROP_00198,Paris,House,126.0,3,2,87,40.0,1,1,Fully,372745.31,EUR,0.92,342925.69
PROP_00199,Mumbai,House,325.5,5,3,19,2.49,1,1,Unfurnished,1985760.55,INR,83.5,165811005.93
PROP_00200,London,Apartment,93.3,2,1,25,10.59,0,0,Fully,777320.63,GBP,0.8,621856.5
PROP_00201,London,Apartment,68.0,2,2,20,5.27,0,0,Unfurnished,624519.58,GBP,0.8,499615.66
PROP_00202,Tokyo,House,165.8,4,3,17,2.19,1,1,Unfurnished,2237882.26,JPY,150.0,335682339.0
PROP_00203,Tokyo,House,64.5,1,1,5,12.71,1,1,Unfurnished,509180.49,JPY,150.0,76377073.5
PROP_00204,New York,House,115.2,3,2,12,1.41,1,1,Partially,2100745.88,USD,1.0,2100745.88
PROP_00205,Paris,Apartment,77.9,2,2,0,2.74,0,1,Fully,832249.05,EUR,0.92,765669.13
PROP_00206,New York,Apartment,90.9,3,2,49,6.49,0,1,Fully,919094.48,USD,1.0,919094.48
PROP_00207,Paris,Apartment,96.0,2,1,0,3.16,0,1,Fully,1181535.07,EUR,0.92,1087012.26
PROP_00208,Tokyo,House,154.1,4,3,6,4.99,1,1,Partially,2063913.24,JPY,150.0,309586986.0
PROP_00209,Mumbai,House,160.9,3,3,12,12.9,1,0,Fully,591977.75,INR,83.5,49430142.12
PROP_00210,Paris,Apartment,114.3,3,2,10,2.81,0,1,Unfurnished,1282904.9,EUR,0.92,1180272.51
PROP_00211,New York,Apartment,74.5,3,2,23,5.1,0,0,Fully,830765.55,USD,1.0,830765.55
PROP_00212,Paris,Apartment,97.7,3,3,10,5.03,0,0,Partially,1042724.72,EUR,0.92,959306.74
PROP_00213,Paris,House,186.3,4,3,9,11.69,1,1,Partially,2260050.08,EUR,0.92,2079246.07
PROP_00214,Paris,Apartment,78.9,1,1,0,0.57,0,1,Partially,839296.97,EUR,0.92,772153.21
PROP_00215,Sydney,Apartment,67.6,2,2,31,4.28,0,1,Fully,575833.73,AUD,1.5,863750.6
PROP_00216,Tokyo,Apartment,63.7,2,2,35,6.26,0,0,Unfurnished,387069.84,JPY,150.0,58060476.0
PROP_00217,Paris,House,210.1,5,3,7,7.31,1,0,Fully,2814501.79,EUR,0.92,2589341.65
PROP_00218,Paris,House,185.6,4,3,7,12.46,1,1,Unfurnished,2251682.85,EUR,0.92,2071548.22
PROP_00219,Mumbai,Apartment,106.2,3,3,19,0.64,1,0,Partially,535896.9,INR,83.5,44747391.15
PROP_00220,London,Apartment,34.1,1,1,0,0.66,0,0,Unfurnished,348753.61,GBP,0.8,279002.89
PROP_00221,New York,Apartment,116.4,3,2,11,9.89,0,0,Partially,1157477.41,USD,1.0,1157477.41
PROP_00222,Tokyo,House,190.6,4,3,6,11.03,1,1,Partially,2241167.53,JPY,150.0,336175129.5
PROP_00223,London,Apartment,51.8,2,1,2,0.13,0,1,Partially,627115.67,GBP,0.8,501692.54
PROP_00224,Tokyo,Apartment,118.3,3,2,3,22.13,0,1,Fully,646384.05,JPY,150.0,96957607.5
PROP_00225,Mumbai,Apartment,85.8,2,1,3,12.99,0,0,Partially,255892.19,INR,83.5,21366997.86
PROP_00226,Mumbai,Apartment,101.8,2,2,5,10.96,0,1,Unfurnished,329146.63,INR,83.5,27483743.6
PROP_00227,Mumbai,House,198.7,5,3,4,21.88,1,0,Unfurnished,708284.36,INR,83.5,59141744.06
PROP_00228,Mumbai,Apartment,80.0,2,2,12,2.13,0,0,Partially,314207.72,INR,83.5,26236344.62
PROP_00229,London,Apartment,93.8,2,2,3,2.51,0,1,Partially,1227740.05,GBP,0.8,982192.04
PROP_00230,Tokyo,Apartment,134.9,3,2,0,6.85,0,0,Partially,1348201.55,JPY,150.0,202230232.5
PROP_00231,New York,House,226.4,5,4,13,5.65,1,0,Fully,4127722.27,USD,1.0,4127722.27
PROP_00232,Tokyo,House,390.1,5,4,7,21.09,1,1,Partially,3434067.52,JPY,150.0,515110128.0
PROP_00233,Mumbai,Apartment,54.3,1,1,0,17.8,0,1,Unfurnished,125204.1,INR,83.5,10454542.35
PROP_00234,Sydney,House,266.6,5,3,6,19.58,1,0,Fully,2416592.92,AUD,1.5,3624889.38
PROP_00235,New York,House,284.6,5,3,41,20.71,1,1,Unfurnished,2302583.21,USD,1.0,2302583.21
PROP_00236,Tokyo,House,198.1,4,3,7,0.82,1,0,Fully,2718346.19,JPY,150.0,407751928.5
PROP_00237,Paris,House,149.9,4,3,9,1.88,1,1,Partially,2446733.78,EUR,0.92,2250995.08
PROP_00238,Paris,House,88.5,2,1,0,10.5,1,1,Partially,855710.07,EUR,0.92,787253.26
PROP_00239,Sydney,Penthouse,97.4,3,2,32,2.1,0,1,Partially,1366784.6,AUD,1.5,2050176.9
PROP_00240,Paris,House,50.0,1,1,5,9.94,1,0,Unfurnished,514085.82,EUR,0.92,472958.95
PROP_00241,London,Apartment,101.7,2,2,1,1.05,0,1,Partially,1395716.34,GBP,0.8,1116573.07
